id,task,status,priority,notes,phase
145,Provider - Provider schema: Identity; KYC; skills; service areas; availability; capacity tables per PROVIDER.md,decomposed,low,"depends on #144 | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 145a,145b,145c,145d,145e,145f",Phase 7 - Provider
145a,Provider - Identity,done,low,"depends on #144 | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification",Phase 7 - Provider
145b,Provider - KYC,done,low,depends on #145a,Phase 7 - Provider
145c,Provider - skills,done,low,depends on #145b,Phase 7 - Provider
145d,Provider - service areas,done,low,depends on #145c,Phase 7 - Provider
145e,Provider - availability,done,low,depends on #145d,Phase 7 - Provider
145f,Provider - capacity tables per PROVIDER.md,done,low,depends on #145e,Phase 7 - Provider
146,Provider - Provider auth and onboarding: Registration; OTP login; KYC document submission and verification workflow,decomposed,low,"depends on #145f | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 146a,146b,146c",Phase 7 - Provider
146a,Provider - Registration,done,low,"depends on #145f | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification",Phase 7 - Provider
146b,Provider - OTP login,done,low,depends on #146a,Phase 7 - Provider
146c,Provider - KYC document submission and verification workflow,done,low,depends on #146b,Phase 7 - Provider
147,Provider - Assignment bridge: booking_provider_assignment + admin assignment API; single nullable AssignedProviderId on booking,done,low,"depends on #145f #115d| unblocked: manual reset, dependency gate re-checked at runtime",Phase 7 - Provider
148,Provider - Provider earnings and payouts: Append-only earning ledger + payout batch processing per PROVIDER.md,done,low,"depends on #147| unblocked: manual reset, dependency gate re-checked at runtime",Phase 7 - Provider
149,Provider - provider-api scaffold: New backend/provider-api project mirroring existing API structure: jobs; availability; earnings endpoints,decomposed,low,"depends on #146c | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 149a,149b,149c",Phase 7 - Provider
149a,Provider - New backend/provider-api project mirroring existing API structure: jobs,done,low,"depends on #146c | JobsController wired to a real IProviderJobService (Nestly.Application.ProviderJobs), backed by the BookingProviderAssignment bridge entity from #147: list/detail/accept/reject/start/complete + completion-proof upload, all IDOR-scoped to the caller's own provider id from the JWT. IBookingProviderAssignmentService gained provider-authenticated AcceptAsync/RejectByProviderAsync. dotnet build/test green (Identity.Tests 210/210, incl. 9 new ProviderJobServiceTests).",Phase 7 - Provider
149b,Provider - availability,done,low,"depends on #149a | AvailabilityController + IProviderAvailabilityService implemented over the existing ProviderAvailabilityWindow/ProviderBlackoutDate entities (replace-all windows, add/list/delete blackout dates), own repositories added. dotnet build/test green (840/840, 13 new tests in ProviderAvailabilityServiceTests).",Phase 7 - Provider
149c,Provider - earnings endpoints,done,low,"depends on #149b | EarningsController wired to a real IProviderEarningsService (Nestly.Application.ProviderEarnings) - an ownership-scoped facade over the admin-facing IProviderEarningLedgerService/IProviderPayoutService from #148, not a second copy of that logic. EscrowReleaseOnCompletionHandler now fills in the real provider id (previously always null) and credits the provider's earning ledger with the net amount on booking completion - the automatic-crediting hook #148's ledger service doc comment anticipated. dotnet build/test green (Identity.Tests 210/210 incl. 5 new ProviderEarningsServiceTests; Catalog.Tests 633/633 incl. 1 new escrow-to-provider test).",Phase 7 - Provider
150,Provider - Admin provider management: Provider CRUD; KYC approval; performance view + Provider/Payout RBAC modules,decomposed,low,"depends on #146c #96d | superseded: decomposed into subtasks 150a,150b,150c",Phase 7 - Provider
150a,Provider - Provider CRUD,done,low,depends on #146c #96d,Phase 7 - Provider
150b,Provider - KYC approval,done,low,depends on #150a,Phase 7 - Provider
150c,Provider - performance view + Provider/Payout RBAC modules,done,low,depends on #150b,Phase 7 - Provider
151,Provider - Provider-facing UI: Provider portal or app for jobs/availability/earnings (platform TBD),done,low,"frontend/provider-web scaffolded (Next.js 14.2.35, TanStack Query, RHF+zod, Tailwind - mirrors admin-web patterns): login/register (OTP), profile/KYC/service-areas/skills, availability (windows+blackouts), jobs list/detail, earnings summary/ledger/payouts. Jobs/Earnings gracefully handle backend 501 (pending #147/#148, now resolved - see #149a/#149c). npm install && npm run build && npm run lint all exit 0.",Phase 7 - Provider
155,"Support - Dispute resolution workflow: Formalize the valid/invalid branch on a support ticket (SRS 855: wrong charge / pricing dispute) into its own flow: admin marks a ticket disputed, resolves as refund (valid) or close/rework (invalid), tracks resolution outcome",done,high,depends on #86d #75b,Phase 5 - Post-Booking
156,Notifications - Push notification channel: Register device tokens (FCM/APNs); add push as a dispatch channel alongside SMS/email; wire into existing notification trigger events,done,high,depends on #87c #88,Phase 5 - Post-Booking
157,Payments - Commission setup and calculation: Admin-configurable commission rate (global/per-category); compute and record platform commission on each completed booking's settlement,done,high,depends on #67f,Phase 4 - Payments & Financial
158,"Payments - Escrow / platform holding account: Hold customer payment in a platform-owned ledger balance until service completion; release to provider wallet net of commission on completion, or to refund on cancellation",done,high,depends on #67f #157,Phase 4 - Payments & Financial
159,"Booking - Provider reassignment on rejection: When assigned provider rejects a booking, return it to an assignable pool and let admin (or auto-match) assign a different provider instead of only offering a refund",done,medium,depends on #147,Phase 7 - Provider
160,"Provider - Background verification: Distinct post-KYC background/reference check step (police verification, prior work history) with its own status feeding into admin approval, separate from KYC document validation",done,medium,depends on #146c,Phase 7 - Provider
161,Referral - Domain schema: referral + referral_program_config tables; Customer.ReferralCode field; ReferralStatus/RewardType enums per REFERRAL.md,done,high,"depends on #22 | done: docs/REFERRAL.md OPEN DECISIONS closed first (reward-type-per-campaign, self-redemption blocked, fraud-flag pauses only payout not referrer eligibility - full rationale in the doc). Referral/ReferralProgramConfig entities + ReferralStatus/ReferralRewardType enums in backend/shared/Domain, Customer.ReferralCode (nullable, set-once) added to the existing Customer entity, WalletSourceType.ReferralReward and NotificationEventType.ReferralRegistered/ReferralRewardCredited added. ReferralProgramConfig deliberately has no effective_from/to versioning despite REFERRAL.md's data model section naming those columns - reward terms are snapshotted onto Referral at registration instead (mirrors the existing Booking snapshot convention), documented as a deliberate deviation in ReferralProgramConfig's doc comment. Migration 20260801150457_AddReferralSchema (schema + a seeded default config row, mirroring how system_setting rows are pre-seeded) applied and verified against the local dev DB. Bundled in as a build prerequisite: AdminModules.Referral + AdminPermissionCatalog role grants (Marketing Admin=write, Finance Admin=read, Super Admin=full) plus migration 20260801150655_SeedReferralPermissions (mirrors 20260731233627_SeedProviderPayoutPermissions's incremental-seed pattern) - task 96a/150c's own convention requires permission rows to exist before any [Authorize(Policy=...)] on a future admin controller can mean anything, so this is task 173's actual deliverable landing here rather than after #167/#170 as tasks.csv's dependency direction implied; verified live by re-logging in as the seeded Super Admin and confirming referral.read/referral.write appear in the issued JWT's permission claims. dotnet build clean, full suite 882/882 passing.",Phase 9 - Referral & Growth
162,"Referral - Code generation and lookup: GenerateReferralCode on Customer (lazy, on first request, not at signup); uniqueness; shareable link format",done,high,"depends on #161 | done: IReferralCodeService/ReferralCodeService (backend/shared/Application/Referral, Infrastructure/Services) - 8-char code from a 31-symbol alphabet excluding visually ambiguous characters (0/O, 1/I/L), uniqueness enforced via ICustomerRepository.ExistsByReferralCodeAsync with retry (cryptographically random via RandomNumberGenerator, same primitive OtpService already uses), lazy get-or-create backed by Customer.SetReferralCode's set-once guard from task 161. Share link base URL is a new ReferralOptions (options-file config, same not-yet-adminable reasoning as CommissionOptions, since the production domain itself isn't decided per DEVOPS.md OPEN DECISIONS). 4 new unit tests (ReferralCodeServiceTests) covering generation/persistence, idempotent re-fetch, no collisions across 25 customers, and link construction - all passing. Full suite 886/886 (882 + 4 new).",Phase 9 - Referral & Growth
163,Referral - Registration wiring: POST /auth/register accepts optional referralCode; self-referral block (mobile/email match); one-referral-per-referee unique constraint,done,high,"depends on #162 #24 | done: RegisterCustomerRequest gained an optional ReferralCode (binds automatically, no controller change needed - it's already [FromBody]-bound). CustomerRegistrationService.TryCreateReferralAsync: best-effort, invalid/unknown codes and self-referral never fail registration itself (only skip Referral creation) since a bad code shouldn't block a legitimate signup. IReferralRepository/IReferralProgramConfigRepository added (backend/shared/Application/Referral + Infrastructure). Finding worth flagging: the self-referral mobile/email check is real defense-in-depth but currently unreachable through the public registration flow - Customer.Mobile/Email are both unconditionally DB-unique (confirmed experimentally, a duplicate-email insert throws a raw unique-constraint violation regardless of the app-level RequireUniqueEmail toggle), so a genuine self-referral attempt already fails earlier on Registration.MobileAlreadyRegistered/EmailAlreadyRegistered - a strictly stronger protection than the referral-specific check alone would have been. Kept per REFERRAL.md's explicit ask ('checked at registration, not just at reward time') as protection against either constraint being relaxed later. One-referral-per-referee is the unique index on referral.referee_customer_id from task 161; the service also does a proactive check first so a duplicate attempt gets a clean no-op instead of an unhandled DB exception. 3 new tests (ReferralRegistrationTests) covering successful creation, unknown code, and the self-referral finding - real OTP generate/validate through OtpService, not mocked, same standard this codebase's existing registration tests already use (OTP can't be retrieved via the live HTTP API by design - SandboxNotificationProvider never exposes it - so in-process integration tests are the correct verification method here, not curl). Full suite 889/889.",Phase 9 - Referral & Growth
